created_date,created_time,text,replies,retweets,favorites
10/07/17,1:24:00 PM,".@NBCNews is so knowingly inaccurate with their reporting. The good news is that the PEOPLE get it, which is really all that matters! Not #1",21349,15864,73743
10/07/17,12:17:00 PM,"I called Chuck Schumer yesterday to see if the Dems want to do a great HealthCare Bill. ObamaCare is badly broken, big premiums. Who knows!",19208,12863,69404
10/07/17,12:04:00 PM,More and more people are suggesting that Republicans (and me) should be given Equal Time on T.V. when you look at the one-sided coverage?,50714,18282,94129
10/07/17,12:00:00 PM,"Late Night host are dealing with the Democrats for their very ""unfunny"" &amp; repetitive material, always anti-Trump! Should we get Equal Time?",34648,14649,75627
10/07/17,11:11:00 AM,"...contributions. The RNC is taking in far more $'s than the Dems, and much of it by my wonderful small donors. I am working hard for them!",12700,12447,67182
10/07/17,11:05:00 AM,"Can't believe I finally got a good story in the @washingtonpost. It discusses the enthusiasm of ""Trump"" voters through campaign....",11174,13601,67346
10/06/17,2:16:00 AM,RT @FoxBusiness: #StockAlert: U.S. markets since the election https://t.co/1kwamJuizO,10516,12226,39400
10/06/17,2:15:00 AM,RT @Scavino45: .@POTUS @realDonaldTrump in the Oval Office w/senior U.S. military leaders prior to dinner hosted by the President &amp; First L  _,5597,8659,35203
10/06/17,1:58:00 AM,"Ralph Northam,who is running for Governor of Virginia,is fighting for the violent MS-13 killer gangs &amp; sanctuary cities.  Vote Ed Gillespie!",26988,26070,92964
10/05/17,11:50:00 AM,Rex Tillerson never threatened to resign. This is Fake News put out by @NBCNews. Low news and reporting standards. No verification from me.,35332,18782,79828
10/05/17,11:09:00 AM,Stock Market hits an ALL-TIME high! Unemployment lowest in 16 years! Business and manufacturing enthusiasm at highest level in decades!,31230,36568,157586
10/05/17,10:59:00 AM,Why Isn't the Senate Intel Committee looking into the Fake News Networks in OUR country to see why so much of our news is just made up-FAKE!,51352,23368,93434
10/05/17,10:46:00 AM,Thank you! https://t.co/YMuqSvvTSB,7279,10869,59595
10/05/17,10:44:00 AM,"So wonderful to be in Las Vegas yesterday and meet with people, from police to doctors to the victims themselves, who I will never forget!",15375,15370,100167
10/05/17,10:34:00 AM,"RT @ABC: Pres. Trump: ""We cannot be defined by the evil that threatens us or the violence that incites such terror."" https://t.co/eduBJDysI  _",3298,6370,29116
10/05/17,10:31:00 AM,RT @Scavino45: .@POTUS @realDonaldTrump and @FLOTUS Melania visit with @UMCSN patient Tiffany Huizarin Las Vegas earlier today. #VegasStron  _,2109,8327,39022
10/05/17,10:31:00 AM,"RT @Scavino45: .@POTUS &amp; @FLOTUS w/ @LVMPD Officer Cook, 2nd day on job, received gunshot wound to the right chest &amp; right arm, saving live  _",1538,10077,42225
10/05/17,10:30:00 AM,RT @FoxNews: Geraldo Blasts 'Fake News' Reports About Trump's Visit to Puerto Rico https://t.co/9jO0D3BMvE,4366,11308,35687
10/05/17,1:08:00 AM,"On behalf of a GRATEFUL NATION, THANK YOU to all of the First Responders (HEROES) who saved countless lives in Las Vegas on Sunday night. https://t.co/ZxuMYWnNHv",8300,23636,111458
10/04/17,11:36:00 PM,WE LOVE YOU LAS VEGAS! https://t.co/nxRWeR1gEz,11912,23559,96896
10/04/17,3:49:00 PM,I will be landing in Las Vegas shortly to pay my respects with @FLOTUS Melania. Everyone remains in our thoughts and prayers.,15848,13715,91469
10/04/17,3:18:00 PM,The @NBCNews story has just been totally refuted by Sec. Tillerson and @VP Pence. It is #FakeNews. They should issue an apology to AMERICA!,33063,18250,70054
10/04/17,2:47:00 PM,NBC news is #FakeNews and more dishonest than even CNN. They are a disgrace to good reporting. No wonder their news ratings are way down!,31765,22014,95866
10/04/17,11:29:00 AM,"Wow, so many Fake News stories today. No matter what I do or say, they will not write or speak truth. The Fake News Media is out of control!",58367,38453,157433
10/04/17,10:25:00 AM,"A great day in Puerto Rico yesterday. While some of the news coverage is Fake, most showed great warmth and friendship.",23755,14954,88493
10/04/17,12:53:00 AM,My Administration will continue to work around the clock with Governor @RicardoRossello &amp; his team. Great progress being made! #PRStrong_   _    https://t.co/1aL9YrwTvC,13240,14406,67331
10/04/17,12:28:00 AM,RT @PressSec: .@POTUS and @FLOTUS meet w/ some of America's finest on the USS Kearsarge off the coast of PR. https://t.co/sR3Jd6rvNK,2912,8605,40571
10/04/17,12:27:00 AM,RT @seanhannity: Tonight the truth about how despicable the media and the left are in America today. We will name names. 9 est Hannity Fox  _,13014,11173,48771
10/04/17,12:26:00 AM,RT @IvankaTrump: 3/4: This Administration is deeply committed to those who serve &amp; their families who make it possible through their love a  _,5117,8321,45947
10/04/17,12:25:00 AM,RT @billoreilly: FNC dominated ratings last night. MSNBC-disaster demonstrating folks don't trust the network. https://t.co/rryWmyXe7C toni  _,3663,8235,37279
10/04/17,12:24:00 AM,RT @Jenniffer2012: Thank you @realDonaldTrump for all the help you are providing for Puerto Rico. We _re are grateful and happy to welcome y  _,3329,14913,53230
10/04/17,12:20:00 AM,"It is a ""miracle"" how fast the Las Vegas Metropolitan Police were able to find the demented shooter and stop him from even more killing!",24384,16680,104574
10/03/17,11:02:00 PM,"So proud of @FEMA, Military, and First Responders! Thank you! https://t.co/kWVMqVelri",5243,12356,59997
10/03/17,9:59:00 PM,Great meeting with Governor Mapp of the #USVI. He is very thankful for the great job done by @FEMA and First Responders. https://t.co/AtBGEpDF9C,4211,7441,39204
10/03/17,9:22:00 PM,Leaving Puerto Rico now for D.C. Will be in Las Vegas early tomorrow to pay my respects. Everyone is in my thoughts and prayers. https://t.co/dBvZUIUfr0,9533,13888,74629
10/03/17,11:40:00 AM,I am so proud of our great Country. God bless America!,38957,43370,212979
10/02/17,11:11:00 AM,My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!,60922,75360,317648
10/02/17,1:22:00 AM,Congratulations to #TeamUSA_   _   __ on your great @PresidentsCup victory! https://t.co/fZeP1e9mo7,10465,12196,69917
10/01/17,7:01:00 PM,"Being nice to Rocket Man hasn't worked in 25 years, why would it work now? Clinton failed, Bush failed, and Obama failed. I won't fail.",73195,47692,188975
10/01/17,2:31:00 PM,"...Save your energy Rex, we'll do what has to be done!",26718,14071,63113
