"","date_amazon","date","id","price_offline","price_online","price_amazon","sale_online","product_online","product_amazon","merchant","url","imputed","comments","pricetype","datediff","cat_id","category","retailer_id","retailer_s"
"1539","4-Jun-16","3-Jun-16","72100174",19.99,19.99,59.99,0,"OsterŒ¬ Single Burner Hot Plate""","Ovente BG44S Cool Touch Portable Ceramic Infrared Cooktop Burner","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Ovente-BG44S-Portable-Ceramic-Infrared/dp/B00BD6X3N6/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465098359&sr=8-1&keywords=Oster%C2%AE+Single+Burner+Hot+Plate%22",NA,"","Regular Price",1,9999,"Mix",53,"USA_53"
"1540","27-May-16","24-May-16","84160682",4.99,4.99,13.01,0,"EcoSMART Organic Wasp & Hornet Killer 14oz Aerosol""","EcoSMART 33104 Organic Flying Insect Killer, 14-Ounce","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/EcoSMART-33104-Organic-Flying-14-Ounce/dp/B001B6AF48/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464323031&sr=8-1&keywords=EcoSMART+Organic+Wasp",NA,"","Regular Price",3,9999,"Mix",53,"USA_53"
"1541","4-Feb-15","30-Jan-15","71662110390",39.99,13.19,13.19,0,"Crayola DigiTools Paint Pack","Crayola DigiTools Paint Pack","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Crayola-95-1039-DigiTools-Paint-Pack/dp/B00CI6J1ZO/ref=sr_1_1?ie=UTF8&qid=1423026614&sr=8-1&keywords=Crayola+DigiTools+Paint+Pack",NA,"","",5,9999,"Mix",53,"USA_53"
"1542","24-Feb-15","24-Feb-15","3.01E+11",16.99,16.99,16.49,0,"3.01E+11","Enfamil Gentlease Powder, 12.4 Oz (Packaging May Vary)","Ships from and sold by Amazon.com.","http://www.amazon.com/Enfamil-Gentlease-Powder-12-4-Packaging/dp/B00IB0Y0PM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424839750&sr=8-1&keywords=300875100691",1,"","",0,9999,"Mix",53,"USA_53"
"1543","13-Jan-16","11-Jan-16","217072669",5,5,11.58,0,"Girls' Headband - CherokeeŒ¬","Forum Novelties Teenz Native American Princess Costume","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Forum-Novelties-American-Princess-Standard/dp/B005F906J6/ref=sr_1_1?ie=UTF8&qid=1452744826&sr=8-1&keywords=Girls%27+Headband+-+Cherokee%C2%AE",1,"","Regular Price",2,9999,"Mix",53,"USA_53"
"1544","24-Feb-15","24-Feb-15","3.01E+11",10.99,10.99,10.99,0,"3.01E+11","Enfamil Premium Infant Liquid Formula, 6-8FL OZ Bottles","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Enfamil-Premium-Infant-Formula-Bottles/dp/B005ZA7L9I/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424839770&sr=8-1&keywords=300875102428",NA,"","",0,9999,"Mix",53,"USA_53"
"1545","9-Jun-16","3-Jun-16","72100174",19.99,19.99,59.99,0,"OsterŒ¬ Single Burner Hot Plate""","Ovente BG44S Cool Touch Portable Ceramic Infrared Cooktop Burner","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Ovente-BG44S-Portable-Ceramic-Infrared/dp/B00BD6X3N6?ie=UTF8&keywords=Oster%C2%AE%20Single%20Burner%20Hot%20Plate%26%2334%3B&m=ATVPDKIKX0DER&qid=1465444811&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",6,9999,"Mix",53,"USA_53"
"1546","15-Feb-15","10-Feb-15","24543932079",39.99,44.99,19.99,0,"Cosmos: A Spacetime Odyssey (4 Discs) (Blu-ray)...","Cosmos: A Spacetime Odyssey [Blu-ray]","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Cosmos-Spacetime-Neil-Degrasse-Tyson/dp/B00IWULSTC/ref=sr_1_1?ie=UTF8&qid=1423978860&sr=8-1&keywords=Cosmos%3A+A+Spacetime+Odyssey+%284+Discs%29+%28Blu-ray%29...",NA,"","",5,9999,"Mix",53,"USA_53"
"1547","17-Jan-15","15-Jan-15","47400098978",18.49,16.99,16.97,0,"Gillette Venus Embrace Women's Razor Blade Refills 4...","Gillette Venus Embrace Women's Razor Blade Refills 4 Count","Ships from and sold by Amazon.com.          Gift-wrap available.","http://www.amazon.com/Gillette-Venus-Embrace-Womens-Refills/dp/B0013MTHWQ/ref=sr_1_1/180-9154683-7010338?ie=UTF8&qid=1421554654&sr=8-1&keywords=Gillette+Venus+Embrace+Women%27s+Razor+Blade+Refills+4...",NA,"","",2,9999,"Mix",53,"USA_53"
"1548","26-May-16","24-May-16","57011620",17.99,19.99,22.42,0,"Yurbuds Focus 100 Earphones - Red""","Yurbuds (CE) Focus 200 In-Ear Headphones","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Yurbuds-CE-Focus-Headphones-Black/dp/B00NMVZCHU/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464283520&sr=8-1&keywords=Yurbuds+Focus+100+Earphones+-+Red%22",1,"","Regular Price",2,9999,"Mix",53,"USA_53"
